Project Name,Client Name,Charged (y/n),Deposit,Billed,Target,Cap,Time Spent,Hourly Rate,Total PT Points,PT Points Covered,Updated On,Effective Rate
BPlan,Fit4Market,y,,942.0,,,9.42,100,,,2010-11-08,100.0
Bplan old,Fit4Market,n,,17200,,17200,302.28,,,,2010-11-08,56.9008865952097
Catapult AO,Catapult,n,921.81,10139.992,9218.18,11061.81,189.87,80,,,2010-11-08,53.4049191552115
Catapult Bugs,Catapult,n,,0,,0.01,193.64,0.0001,,,2010-11-08,0.0
Catapult Scaling Enhancements,Catapult,n,916.7,10083.7,9167,11000.4,132.47,80,,,2010-11-08,76.1206310862837
Catapult Stud-Train Changes 1,Catapult,n,585,6435,5850,7020,107.68,80,,,2010-11-08,59.7604011887073
Catapult Support,Catapult,y,,34857.0,,,352.57,100,,,2010-11-08,98.8654735229883
Catapult Upload Enhancement,,y,,14728.0,,,147.28,100,,,2010-11-08,100.0
Crikey,Valegro Pty Ltd,y,,35527.68,,,506.6,72,,,2010-11-08,70.1296486379787
Crikey initial proposal,Valegro Pty Ltd,y,,3116.24,,,5.58,,,,2010-11-08,558.465949820789
Exp Plus Stage 1,Exp Plus,n,2291,14752.998,16392.22,16392.22,276.58,72,36,2,2010-11-08,53.340798322366
Intervintner,Intervintner,n,,15187.5,,15187.5,316.95,,,,2010-11-08,47.9176526265973
Mt Barker Council Support,Mt Barker Council,y,,280.5,,,1.65,170,,,2010-11-08,170.0
pma,Property Management Academy,n,,3348,,3348,34.37,100,,,2010-11-08,97.4105324410824
Realives,Helpful Partners,n,4686,51249.6,49864,56236,820.11,72,155,11,2010-11-08,62.4911292387606
Realives Phase 2,Helpful Partners,y,,12411.0,,,137.9,90,,,2010-11-08,90.0
Rostrevor,Rostrevor College,y,2304,2520.0,23040,23040,3.0,72,,,2010-11-08,840.0
SACC,SA Career Consultants,n,,6318.2,,,99.02,100,,,2010-11-08,63.8073116542113
Ztotal for codefire,,,,149905.91,,,2232.8,,,,2010-11-08,67.1380822285919
